timestamp(KST),open,high,low,close,volume
2025-03-03 13:30:00,3653000,3653000,3650000,3651000,16.13832909
2025-03-03 13:31:00,3651000,3651000,3649000,3650000,19.2510676
2025-03-03 13:32:00,3651000,3651000,3647000,3649000,16.80625846
2025-03-03 13:33:00,3649000,3653000,3648000,3651000,25.5484562
2025-03-03 13:34:00,3651000,3652000,3650000,3651000,7.29593896
2025-03-03 13:35:00,3650000,3653000,3650000,3653000,14.77741163
2025-03-03 13:36:00,3653000,3653000,3649000,3650000,69.52740716
2025-03-03 13:37:00,3650000,3653000,3650000,3651000,4.06816976
2025-03-03 13:38:00,3652000,3654000,3651000,3654000,15.16375667
2025-03-03 13:39:00,3653000,3654000,3652000,3653000,5.00359232
2025-03-03 13:40:00,3653000,3653000,3652000,3652000,6.53432111
2025-03-03 13:41:00,3652000,3656000,3652000,3655000,10.04395426
2025-03-03 13:42:00,3655000,3656000,3652000,3655000,45.26427739
2025-03-03 13:43:00,3655000,3655000,3651000,3652000,11.23844901
2025-03-03 13:44:00,3652000,3655000,3651000,3655000,16.37037926
2025-03-03 13:45:00,3655000,3659000,3655000,3658000,8.10086824
2025-03-03 13:46:00,3658000,3662000,3656000,3661000,33.05834477
2025-03-03 13:47:00,3662000,3666000,3661000,3664000,60.0580495
2025-03-03 13:48:00,3665000,3669000,3663000,3664000,126.38319422
2025-03-03 13:49:00,3664000,3665000,3663000,3663000,17.65207364
2025-03-03 13:50:00,3663000,3664000,3662000,3664000,16.26253801
2025-03-03 13:51:00,3664000,3666000,3663000,3666000,6.68856745
2025-03-03 13:52:00,3666000,3668000,3665000,3666000,61.21264546
2025-03-03 13:53:00,3666000,3667000,3665000,3665000,13.10087698
2025-03-03 13:54:00,3665000,3667000,3660000,3661000,42.31624013
2025-03-03 13:55:00,3661000,3661000,3657000,3658000,17.01867241
2025-03-03 13:56:00,3658000,3660000,3657000,3659000,3.95464035
2025-03-03 13:57:00,3659000,3662000,3659000,3662000,8.11783407
2025-03-03 13:58:00,3662000,3665000,3661000,3661000,19.6821271
2025-03-03 13:59:00,3662000,3664000,3661000,3664000,25.23533361
2025-03-03 14:00:00,3662000,3666000,3660000,3662000,29.50846409
2025-03-03 14:01:00,3663000,3665000,3661000,3661000,13.92805732
2025-03-03 14:02:00,3663000,3663000,3661000,3663000,1.02788763
